match_id,date,venue,batting_team,opponent,innings,runs,balls,dismissed,century,fifty
463151,2011-01-15,New Wanderers Stadium,India,South Africa,1,22,34,True,False,False
463152,2011-01-18,Newlands,India,South Africa,2,28,42,True,False,False
463153,2011-01-21,St George's Park,India,South Africa,2,87,92,False,False,True
463154,2011-01-23,SuperSport Park,India,South Africa,2,2,6,True,False,False
433558,2011-02-19,Shere Bangla National Stadium,India,Bangladesh,1,100,86,False,True,False
433568,2011-02-27,M Chinnaswamy Stadium,India,England,1,8,5,True,False,False
433578,2011-03-06,M Chinnaswamy Stadium,India,Ireland,2,34,54,False,False,False
433582,2011-03-09,Feroz Shah Kotla,India,Netherlands,2,12,20,True,False,False
433586,2011-03-12,"Vidarbha Cricket Association Stadium, Jamtha",India,South Africa,1,1,3,True,False,False
433599,2011-03-20,"MA Chidambaram Stadium, Chepauk",India,West Indies,1,59,78,True,False,True
433601,2011-03-24,"Sardar Patel Stadium, Motera",India,Australia,2,24,33,True,False,False
433605,2011-03-30,"Punjab Cricket Association Stadium, Mohali",India,Pakistan,1,9,21,True,False,False
433606,2011-04-02,Wankhede Stadium,India,Sri Lanka,2,35,52,True,False,False
489221,2011-06-06,"Queen's Park Oval, Port of Spain",India,West Indies,2,2,8,True,False,False
489222,2011-06-08,"Queen's Park Oval, Port of Spain",India,West Indies,2,81,106,True,False,True
489223,2011-06-11,"Sir Vivian Richards Stadium, North Sound",India,West Indies,2,0,1,True,False,False
489224,2011-06-13,"Sir Vivian Richards Stadium, North Sound",India,West Indies,2,22,33,True,False,False
489225,2011-06-16,"Sabina Park, Kingston",India,West Indies,1,94,107,True,False,True
474477,2011-09-03,Riverside Ground,India,England,1,55,74,True,False,True
474478,2011-09-06,The Rose Bowl,India,England,1,9,9,True,False,False
474479,2011-09-09,Kennington Oval,India,England,1,7,18,True,False,False
474480,2011-09-11,Lord's,India,England,1,16,39,True,False,False
474481,2011-09-16,Sophia Gardens,India,England,1,107,93,True,True,False
521218,2011-10-14,"Rajiv Gandhi International Stadium, Uppal",India,England,1,37,63,True,False,False
521219,2011-10-17,Feroz Shah Kotla,India,England,2,112,104,False,True,False
521220,2011-10-20,"Punjab Cricket Association Stadium, Mohali",India,England,2,35,30,True,False,False
521221,2011-10-23,Wankhede Stadium,India,England,2,86,99,False,False,True
521222,2011-10-25,Eden Gardens,India,England,1,0,5,True,False,False
536929,2011-11-29,Barabati Stadium,India,West Indies,2,3,7,True,False,False
536930,2011-12-02,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,West Indies,2,117,127,True,True,False
536931,2011-12-05,"Sardar Patel Stadium, Motera",India,West Indies,2,20,30,True,False,False
536932,2011-12-08,Holkar Cricket Stadium,India,West Indies,1,23,13,False,False,False
536933,2011-12-11,"MA Chidambaram Stadium, Chepauk",India,West Indies,1,80,86,True,False,True
518956,2012-02-05,Melbourne Cricket Ground,India,Australia,2,31,34,True,False,False
518957,2012-02-08,Western Australia Cricket Association Ground,India,Sri Lanka,2,77,94,True,False,True
518959,2012-02-12,Adelaide Oval,India,Australia,2,18,28,True,False,False
518960,2012-02-14,Adelaide Oval,India,Sri Lanka,2,15,25,True,False,False
518962,2012-02-19,"Brisbane Cricket Ground, Woolloongabba",India,Australia,2,12,25,True,False,False
518963,2012-02-21,"Brisbane Cricket Ground, Woolloongabba",India,Sri Lanka,2,66,83,True,False,True
518965,2012-02-26,Sydney Cricket Ground,India,Australia,2,21,27,True,False,False
518966,2012-02-28,Bellerive Oval,India,Sri Lanka,2,133,91,False,True,False
535795,2012-03-13,Shere Bangla National Stadium,India,Sri Lanka,1,108,122,True,True,False
535797,2012-03-16,Shere Bangla National Stadium,India,Bangladesh,1,66,82,True,False,True
535798,2012-03-18,Shere Bangla National Stadium,India,Pakistan,2,183,151,True,True,False
564781,2012-07-21,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",India,Sri Lanka,1,106,113,True,True,False
564782,2012-07-24,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",India,Sri Lanka,1,1,5,True,False,False
564783,2012-07-28,R Premadasa Stadium,India,Sri Lanka,2,38,69,True,False,False
564784,2012-07-31,R Premadasa Stadium,India,Sri Lanka,2,128,121,False,True,False
564785,2012-08-04,Pallekele International Cricket Stadium,India,Sri Lanka,1,23,36,True,False,False
589308,2012-12-30,"MA Chidambaram Stadium, Chepauk",India,Pakistan,1,0,5,True,False,False
